Federal Provider Number,Provider Name,Provider City,Provider State,Provider Zip Code,Provider County Name,Ownership Type,Number of Certified Beds,Number of Residents in Certified Beds,Provider Type,Provider Resides in Hospital,Most Recent Health Inspection More Than 2 Years Ago,Automatic Sprinkler Systems in All Required Areas,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,Location,Processing Date,Latitude,Adjusted Total Nurse Staffing Hours per Resident per Day,Longitude
205146,EASTPORT MEMORIAL NURSING HOME,EASTPORT,ME,4631,Washington,Non profit - Corporation,26,24,Medicare and Medicaid,False,False,Yes,5.0,4.0,5.0,5.0,8.0,1,0,0,$0.00,0,0,"23 BOYNTON STREET
EASTPORT, ME 04631
(44.905219, -66.987331)",09/01/2016,44.905219,4.92912,-66.987331
205149,KATAHDIN NURSING HOME,MILLINOCKET,ME,4462,Penobscot,For profit - Corporation,36,36,Medicare and Medicaid,False,False,Yes,5.0,4.0,5.0,5.0,6.667,0,0,0,$0.00,0,0,"22 WALNUT STREET
MILLINOCKET, ME 04462
(45.655884, -68.693687)",09/01/2016,45.655884,5.14422,-68.693687
205145,SEAPORT VILLAGE HEALTHCARE,ELLSWORTH,ME,4605,Hancock,For profit - Corporation,61,52,Medicare and Medicaid,False,False,Yes,1.0,1.0,5.0,5.0,89.333,0,2,1,$1495.00,0,1,"19 GENERAL MOORE WAY
ELLSWORTH, ME 04605
(44.638455, -68.452377)",09/01/2016,44.638455,5.07613,-68.452377
205157,COASTAL MANOR,YARMOUTH,ME,4096,Cumberland,For profit - Corporation,39,37,Medicare and Medicaid,False,False,Yes,2.0,1.0,5.0,5.0,34.667,1,0,0,$0.00,0,0,"20 WEST MAIN STREET
YARMOUTH, ME 04096
(43.804039, -70.194722)",09/01/2016,43.804039,4.87593,-70.194722
205154,WOODLAWN REHABILITATION & NURSING CENTER,SKOWHEGAN,ME,4976,Somerset,For profit - Corporation,46,36,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,4.0,26.0,1,6,0,$0.00,0,0,"59 WEST FRONT ST
SKOWHEGAN, ME 04976
(44.760649, -69.721543)",09/01/2016,44.760649,3.85373,-69.721543
205158,GREGORY WING OF ST ANDREWS VILLAGE,BOOTHBAY HARBOR,ME,4538,Lincoln,Non profit - Corporation,30,22,Medicare and Medicaid,True,False,Yes,5.0,5.0,5.0,5.0,2.667,0,0,0,$0.00,0,0,"145 EMERY LANE
BOOTHBAY HARBOR, ME 04538
(43.862792, -69.628796)",09/01/2016,43.862792,6.63816,-69.628796
205144,ST JOSEPH NURSING HOME,FRENCHVILLE,ME,4745,Aroostook,For profit - Corporation,43,41,Medicare and Medicaid,False,False,Yes,2.0,1.0,5.0,5.0,51.333,2,1,2,$19793.00,0,2,"426 US ROUTE
FRENCHVILLE, ME 04745
(47.280289, -68.423542)",09/01/2016,47.280289,5.03842,-68.423542
205166,GORHAM HOUSE,GORHAM,ME,4038,Cumberland,For profit - Corporation,69,65,Medicare and Medicaid,False,False,Yes,4.0,3.0,4.0,5.0,17.333,0,1,0,$0.00,0,0,"50 NEW PORTLAND RD
GORHAM, ME 04038
(43.680571, -70.43387)",09/01/2016,43.680571,4.28921,-70.43387
205165,SOMERSET REHABILITATION & LIVING CENTER,BINGHAM,ME,4920,Somerset,For profit - Corporation,21,17,Medicare and Medicaid,False,False,Yes,5.0,5.0,5.0,5.0,6.0,0,0,0,$0.00,0,0,"43 OWENS ST
BINGHAM, ME 04920
(45.05447, -69.878431)",09/01/2016,45.05447,5.70419,-69.878431
205136,SOUTHRIDGE REHAB & LIVING CTR,BIDDEFORD,ME,4005,York,For profit - Corporation,62,60,Medicare and Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,24.333,0,1,0,$0.00,0,0,"10 MAY ST
BIDDEFORD, ME 04005
(43.491687, -70.467727)",09/01/2016,43.491687,5.00474,-70.467727
205135,SONOGEE REHABILITATION & LIVING CENTER,BAR HARBOR,ME,4609,Hancock,For profit - Corporation,35,27,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,5.0,75.333,0,5,1,$1625.00,1,2,"131 EDEN ST
BAR HARBOR, ME 04609
(44.40082, -68.231879)",09/01/2016,44.40082,4.34106,-68.231879
205138,LAKEWOOD A CONTINUING CARE CENTER,WATERVILLE,ME,4901,Kennebec,Non profit - Corporation,105,100,Medicare and Medicaid,False,False,Yes,4.0,2.0,4.0,4.0,26.667,1,2,0,$0.00,0,0,"220 KENNEDY MEMORIAL DR
WATERVILLE, ME 04901
(44.542951, -69.662969)",09/01/2016,44.542951,5.22573,-69.662969
205137,LEDGEWOOD MANOR,WINDHAM,ME,4062,Cumberland,For profit - Individual,60,49,Medicare and Medicaid,False,False,Yes,5.0,5.0,4.0,4.0,2.667,0,0,0,$0.00,0,0,"200 ROUTE 115
WINDHAM, ME 04062
(43.838995, -70.416104)",09/01/2016,43.838995,4.61258,-70.416104
205185,MAINE VETERANS HOME - BANGOR,BANGOR,ME,4401,Penobscot,Non profit - Corporation,120,106,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,4.0,30.667,0,1,0,$0.00,0,0,"44 HOGAN RD
BANGOR, ME 04401
(44.816153, -68.738188)",09/01/2016,44.816153,4.07279,-68.738188
205184,MAINE VETERANS HOME - SO PARIS,SOUTH PARIS,ME,4281,Oxford,Non profit - Corporation,62,62,Medicare and Medicaid,False,False,Yes,5.0,5.0,4.0,5.0,0.0,1,0,0,$0.00,0,0,"477 HIGH ST
SOUTH PARIS, ME 04281
(44.250265, -70.527323)",09/01/2016,44.250265,4.22234,-70.527323
215025,NMS HEALTHCARE OF SILVER SPRING,WHEATON,MD,20902,Montgomery,For profit - Corporation,112,101,Medicare and Medicaid,False,False,Yes,2.0,1.0,5.0,5.0,150.0,14,48,0,$0.00,0,0,"4011 RANDOLPH ROAD
WHEATON, MD 20902
(39.057624, -77.079303)",09/01/2016,39.057624,4.68163,-77.079303
215014,ARCOLA HEALTH AND REHABILITATION CENTER,SILVER SPRING,MD,20902,Montgomery,For profit - Corporation,158,135,Medicare and Medicaid,False,False,Yes,3.0,4.0,1.0,1.0,33.333,4,3,0,$0.00,0,0,"901 ARCOLA AVENUE
SILVER SPRING, MD 20902
(39.0364, -77.025614)",09/01/2016,39.0364,3.49698,-77.025614
215001,BALLENGER CREEK CENTER,FREDERICK,MD,21701,Frederick,For profit - Corporation,143,97,Medicare and Medicaid,False,False,Yes,2.0,2.0,3.0,3.0,82.0,2,4,0,$0.00,0,0,"347 BALLENGER DRIVE
FREDERICK, MD 21701
(39.408011, -77.414101)",09/01/2016,39.408011,3.47817,-77.414101
215005,BAY RIDGE HEALTH CARE CENTER,ANNAPOLIS,MD,21403,Anne Arundel,For profit - Partnership,93,89,Medicare and Medicaid,False,False,Yes,3.0,3.0,1.0,1.0,52.667,0,16,0,$0.00,0,0,"900 VAN BUREN STREET
ANNAPOLIS, MD 21403
(38.961619, -76.490424)",09/01/2016,38.961619,3.05963,-76.490424
215017,"LONGVIEW HEALTHCARE CENTER, LLC",MANCHESTER,MD,21102,Carroll,For profit - Corporation,108,107,Medicare and Medicaid,False,False,Yes,5.0,5.0,4.0,3.0,9.333,0,1,0,$0.00,0,0,"3332 MAIN STREET
MANCHESTER, MD 21102
(39.665192, -76.887169)",09/01/2016,39.665192,4.19054,-76.887169
205180,WINDWARD GARDENS,CAMDEN,ME,4843,Knox,For profit - Corporation,58,49,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,5.0,42.667,4,3,0,$0.00,0,0,"105 MECHANIC ST
CAMDEN, ME 04843
(44.208622, -69.078357)",09/01/2016,44.208622,3.98809,-69.078357
215024,MANOR CARE HEALTH SERVICES - HYATTSVILLE,HYATTSVILLE,MD,20783,Prince Georges,For profit - Corporation,160,134,Medicare and Medicaid,False,False,Yes,4.0,3.0,3.0,4.0,44.667,3,6,0,$0.00,0,0,"6500 RIGGS ROAD
HYATTSVILLE, MD 20783
(38.969586, -76.984293)",09/01/2016,38.969586,3.44847,-76.984293
215013,ST. MARY'S NURSING CENTER INC,LEONARDTOWN,MD,20650,St. Marys,Non profit - Corporation,160,151,Medicare and Medicaid,False,False,Yes,4.0,4.0,4.0,4.0,32.0,7,3,0,$0.00,0,0,"21585 PEABODY STREET
LEONARDTOWN, MD 20650
(38.298811, -76.636596)",09/01/2016,38.298811,4.12755,-76.636596
215026,POTOMAC VALLEY NSG & WELLNESS,ROCKVILLE,MD,20850,Montgomery,For profit - Corporation,175,145,Medicare and Medicaid,False,False,Yes,4.0,4.0,4.0,5.0,21.333,6,10,0,$0.00,0,0,"1235 POTOMAC VALLEY ROAD
ROCKVILLE, MD 20850
(39.074164, -77.160152)",09/01/2016,39.074164,3.97481,-77.160152
215020,FORESTVILLE HEALTH & REHABILITATION CENTER,FORESTVILLE,MD,20747,Prince Georges,For profit - Corporation,160,158,Medicare and Medicaid,False,False,Yes,3.0,3.0,1.0,2.0,38.0,3,10,0,$0.00,0,0,"7420 MARLBORO PIKE
FORESTVILLE, MD 20747
(38.847738, -76.87806)",09/01/2016,38.847738,3.17048,-76.87806
205187,PIPER SHORES,SCARBOROUGH,ME,4074,Cumberland,Non profit - Corporation,40,37,Medicare and Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,19.667,0,0,0,$0.00,0,0,"15 PIPER ROAD
SCARBOROUGH, ME 04074
(43.562446, -70.289405)",09/01/2016,43.562446,5.09154,-70.289405
215007,WICOMICO NURSING HOME,SALISBURY,MD,21802,Wicomico,Government - County,102,89,Medicare and Medicaid,False,False,Yes,5.0,3.0,4.0,4.0,36.667,0,1,0,$0.00,0,0,"900 BOOTH ST
SALISBURY, MD 21802
(38.377439, -75.614238)",09/01/2016,38.377439,3.68907,-75.614238
215022,MILFORD MANOR NURSING HOME,BALTIMORE,MD,21208,Baltimore,For profit - Corporation,100,80,Medicare and Medicaid,False,False,Yes,1.0,1.0,4.0,4.0,103.667,11,15,1,$81859.00,1,2,"4204 OLD MILFORD MILL ROAD
BALTIMORE, MD 21208
(39.36391, -76.716582)",09/01/2016,39.36391,4.38005,-76.716582
215015,FAIRLAND CENTER,SILVER SPRING,MD,20904,Montgomery,For profit - Corporation,92,85,Medicare and Medicaid,False,False,Yes,2.0,2.0,3.0,3.0,71.333,4,4,0,$0.00,0,0,"2101 FAIRLAND ROAD
SILVER SPRING, MD 20904
(39.076832, -76.968982)",09/01/2016,39.076832,3.38347,-76.968982
205181,MOUNTAIN HEIGHTS HEALTH CARE,PATTEN,ME,4765,Penobscot,For profit - Corporation,25,20,Medicare and Medicaid,False,False,Yes,5.0,5.0,5.0,5.0,6.0,0,0,0,$0.00,0,0,"83 HOULTON ROAD
PATTEN, ME 04765
(45.995023, -68.442553)",09/01/2016,45.995023,5.43415,-68.442553
215010,THE PINES GENESIS ELDERCARE,EASTON,MD,21601,Talbot,For profit - Corporation,195,146,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,4.0,95.5,6,8,0,$0.00,0,0,"610 DUTCHMAN'S LANE
EASTON, MD 21601
(38.759778, -76.063807)",09/01/2016,38.759778,3.99984,-76.063807
205078,"WINSHIP GREEN CENTER FOR HEALTH & REHAB, LLC",BATH,ME,4530,Sagadahoc,For profit - Corporation,72,62,Medicare and Medicaid,False,False,Yes,4.0,4.0,3.0,5.0,16.0,0,2,0,$0.00,0,0,"51 WINSHIP ST
BATH, ME 04530
(43.930828, -69.817089)",09/01/2016,43.930828,3.61481,-69.817089
205080,GARDINER HEALTH CARE FACILITY,HOULTON,ME,4730,Aroostook,For profit - Corporation,45,36,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,5.0,47.333,2,5,0,$0.00,0,0,"520 HOULTON
ME 04730
(46.072806, -67.956876)",09/01/2016,46.072806,4.11408,-67.956876
205082,GREENWOOD CENTER,SANFORD,ME,4073,York,For profit - Corporation,86,66,Medicare and Medicaid,False,False,Yes,4.0,3.0,4.0,4.0,26.667,0,0,0,$0.00,0,0,"1142 MAIN ST
SANFORD, ME 04073
(43.425181, -70.763465)",09/01/2016,43.425181,5.34074,-70.763465
205076,"MARKET SQUARE HEALTH CARE CENTER, LLC",SOUTH PARIS,ME,4281,Oxford,For profit - Corporation,76,71,Medicare and Medicaid,False,False,Yes,3.0,3.0,4.0,4.0,18.0,0,3,0,$0.00,0,0,"3 MARKET SQUARE
SOUTH PARIS, ME 04281
(44.223461, -70.51228)",09/01/2016,44.223461,4.29179,-70.51228
205079,"BRENTWOOD CENTER FOR HEALTH & REHABILITATION, LLC",YARMOUTH,ME,4096,Cumberland,For profit - Corporation,78,71,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,4.0,28.0,1,6,1,$2500.00,0,1,"370 PORTLAND ST
YARMOUTH, ME 04096
(43.789026, -70.193336)",09/01/2016,43.789026,3.69308,-70.193336
205077,"AUGUSTA CENTER FOR HEALTH & REHABILITATION, LLC",AUGUSTA,ME,4330,Kennebec,For profit - Corporation,72,60,Medicare and Medicaid,False,False,Yes,5.0,3.0,4.0,5.0,20.667,0,3,0,$0.00,0,0,"188 EASTERN AVE
AUGUSTA, ME 04330
(44.30804, -69.754289)",09/01/2016,44.30804,3.90636,-69.754289
215064,MANORCARE HEALTH SYSTEM - ADELPHI,ADELPHI,MD,20783,Prince Georges,For profit - Individual,170,139,Medicare and Medicaid,False,False,Yes,3.0,2.0,3.0,4.0,62.0,4,27,0,$0.00,0,0,"1801 METZEROTT ROAD
ADELPHI, MD 20783
(39.003837, -76.977085)",09/01/2016,39.003837,3.6366,-76.977085
215058,ALICE BYRD TAWES NURSING HOME,CRISFIELD,MD,21817,Somerset,Non profit - Corporation,76,73,Medicare and Medicaid,False,False,Yes,2.0,3.0,3.0,5.0,45.667,6,3,1,$4713.00,0,1,"201 HALL HIGHWAY
CRISFIELD, MD 21817
(37.996007, -75.852367)",09/01/2016,37.996007,3.55688,-75.852367
215060,WOODSIDE CENTER,SILVER SPRING,MD,20910,Montgomery,For profit - Corporation,92,87,Medicare and Medicaid,False,False,Yes,5.0,4.0,3.0,4.0,32.0,1,2,0,$0.00,0,0,"9101 SECOND AVENUE
SILVER SPRING, MD 20910
(39.005237, -77.042285)",09/01/2016,39.005237,3.64854,-77.042285
215044,ST. ELIZABETH REHAB. & NSG. CE,BALTIMORE,MD,21227,Baltimore City,Non profit - Corporation,162,156,Medicare and Medicaid,False,False,Yes,3.0,3.0,2.0,3.0,38.667,20,6,0,$0.00,0,0,"3320 BENSON AVENUE
BALTIMORE, MD 21227
(39.268844, -76.669561)",09/01/2016,39.268844,2.95781,-76.669561
215055,GOLDEN LIVINGCENTER-CUMBERLAND,CUMBERLAND,MD,21502,Allegany,For profit - Corporation,131,122,Medicare and Medicaid,False,False,Yes,1.0,1.0,2.0,4.0,126.0,4,2,0,$0.00,0,0,"512 WINIFRED ROAD
CUMBERLAND, MD 21502
(39.645617, -78.743956)",09/01/2016,39.645617,3.0084,-78.743956
205122,HARBOR HILL CENTER,BELFAST,ME,4915,Waldo,For profit - Corporation,40,36,Medicare and Medicaid,False,False,Yes,3.0,2.0,5.0,5.0,27.333,2,12,1,$2275.00,0,1,"2 FOOTBRIDGE RD
BELFAST, ME 04915
(44.433926, -69.003998)",09/01/2016,44.433926,4.70746,-69.003998
205113,COLONIAL HEALTH CARE,LINCOLN,ME,4457,Penobscot,For profit - Corporation,60,52,Medicare and Medicaid,False,False,Yes,4.0,4.0,3.0,2.0,14.0,2,0,0,$0.00,0,0,"36 WORKMAN TERRACE STREET
LINCOLN, ME 04457
(45.354891, -68.50255)",09/01/2016,45.354891,4.49331,-68.50255
215069,MANORCARE HEALTH SERVICES - DULANEY,TOWSON,MD,21204,Baltimore,For profit - Corporation,135,126,Medicare and Medicaid,False,False,Yes,2.0,1.0,3.0,4.0,95.333,11,6,0,$0.00,0,0,"111 WEST ROAD
TOWSON, MD 21204
(39.410899, -76.615142)",09/01/2016,39.410899,3.3143,-76.615142
205118,NARRAGUAGUS BAY HEALTH CARE FACILITY,MILBRIDGE,ME,4658,Washington,For profit - Individual,35,30,Medicare and Medicaid,False,False,Yes,2.0,2.0,4.0,4.0,24.667,0,4,0,$0.00,0,0,"3 MAIN STREET
MILBRIDGE, ME 04658
(44.538086, -67.881846)",09/01/2016,44.538086,4.07531,-67.881846
215043,KENSINGTON NURSING & REHABILITATION CENTER,KENSINGTON,MD,20895,Montgomery,For profit - Corporation,140,134,Medicare and Medicaid,False,False,Yes,1.0,1.0,2.0,2.0,104.667,11,11,0,$0.00,0,0,"3000 MCCOMAS AVENUE
KENSINGTON, MD 20895
(39.032816, -77.061721)",09/01/2016,39.032816,3.48251,-77.061721
215054,MANORCARE HEALTH SERVICES -TOWSON,TOWSON,MD,21286,Baltimore,For profit - Corporation,132,118,Medicare and Medicaid,False,False,Yes,4.0,3.0,3.0,5.0,39.333,0,0,1,$2600.00,0,1,"509 EAST JOPPA ROAD
TOWSON, MD 21286
(39.401263, -76.593599)",09/01/2016,39.401263,3.20354,-76.593599
205114,HIGH VIEW MANOR,MADAWASKA,ME,4756,Aroostook,For profit - Corporation,51,48,Medicare and Medicaid,False,False,Yes,2.0,1.0,5.0,5.0,34.0,3,2,0,$0.00,0,0,"517 RIVERVIEW ST
MADAWASKA, ME 04756
(47.353276, -68.312453)",09/01/2016,47.353276,4.68635,-68.312453
205117,CARIBOU REHAB AND NURSING CENTER,CARIBOU,ME,4736,Aroostook,For profit - Corporation,68,56,Medicare and Medicaid,False,False,Yes,5.0,4.0,5.0,5.0,16.667,1,1,0,$0.00,0,0,"10 BERNADETTE ST
CARIBOU, ME 04736
(46.871293, -68.011126)",09/01/2016,46.871293,5.47398,-68.011126
215065,BEL PRE HEALTH & REHABILITATION CENTER,SILVER SPRING,MD,20906,Montgomery,For profit - Corporation,100,85,Medicare and Medicaid,False,False,Yes,4.0,3.0,3.0,3.0,39.333,1,8,0,$0.00,0,0,"2601 BEL PRE ROAD
SILVER SPRING, MD 20906
(39.090391, -77.0534)",09/01/2016,39.090391,3.454,-77.0534
205116,STILLWATER HEALTH CARE,BANGOR,ME,4401,Penobscot,For profit - Corporation,63,56,Medicare and Medicaid,False,False,Yes,5.0,5.0,5.0,5.0,2.0,0,1,0,$0.00,0,0,"335 STILLWATER AVE
BANGOR, ME 04401
(44.824412, -68.758584)",09/01/2016,44.824412,4.57981,-68.758584
205112,FALMOUTH BY THE SEA,FALMOUTH,ME,4105,Cumberland,For profit - Corporation,65,58,Medicare and Medicaid,False,False,Yes,5.0,5.0,4.0,4.0,5.333,0,0,0,$0.00,0,0,"191 FORESIDE RD
FALMOUTH, ME 04105
(43.72842, -70.213542)",09/01/2016,43.72842,4.64508,-70.213542
215052,"NMS HEALTHCARE OF SPRINGBROOK, LLC",SILVER SPRING,MD,20904,Montgomery,For profit - Corporation,99,85,Medicare and Medicaid,False,False,Yes,2.0,1.0,3.0,3.0,139.333,2,32,0,$0.00,0,0,"12325 NEW HAMPSHIRE AVENUE
SILVER SPRING, MD 20904
(39.058984, -76.997629)",09/01/2016,39.058984,3.35751,-76.997629
215071,HEBREW HOME OF GREATER WASHINGTON,ROCKVILLE,MD,20852,Montgomery,Non profit - Corporation,558,484,Medicare and Medicaid,False,False,Yes,4.0,4.0,4.0,4.0,26.0,5,5,0,$0.00,0,0,"6121 MONTROSE ROAD
ROCKVILLE, MD 20852
(39.052737, -77.124244)",09/01/2016,39.052737,4.18649,-77.124244
215067,SALISBURY CENTER,SALISBURY,MD,21804,Wicomico,For profit - Corporation,305,260,Medicare and Medicaid,False,False,Yes,2.0,3.0,3.0,3.0,42.667,1,1,0,$0.00,0,0,"200 CIVIC AVENUE
SALISBURY, MD 21804
(38.368262, -75.573303)",09/01/2016,38.368262,3.90927,-75.573303
215039,CITIZENS CARE CENTER,HAVRE DE GRACE,MD,21078,Harford,Non profit - Other,184,155,Medicare and Medicaid,False,False,Yes,4.0,3.0,4.0,4.0,38.0,0,9,0,$0.00,0,0,"415 S MARKET STREET
HAVRE DE GRACE, MD 21078
(39.544142, -76.08792)",09/01/2016,39.544142,3.7127,-76.08792
215048,MANOR CARE HEALTH SERVICES - WHEATON,WHEATON,MD,20902,Montgomery,For profit - Corporation,94,88,Medicare and Medicaid,False,False,Yes,5.0,4.0,3.0,4.0,29.333,2,13,0,$0.00,0,0,"11901 GEORGIA AVENUE
WHEATON, MD 20902
(39.051253, -77.051351)",09/01/2016,39.051253,3.40927,-77.051351
205115,DEXTER HEALTH CARE,DEXTER,ME,4930,Penobscot,For profit - Corporation,53,41,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,4.0,42.667,3,0,0,$0.00,0,0,"64 PARK STREET
DEXTER, ME 04930
(45.02674, -69.279533)",09/01/2016,45.02674,4.44978,-69.279533
205120,MOUNT ST JOSEPH NURSING HOME,WATERVILLE,ME,4901,Kennebec,Non profit - Corporation,111,98,Medicare and Medicaid,False,False,Yes,5.0,3.0,4.0,4.0,19.333,0,0,0,$0.00,0,0,"7 HIGHWOOD ST
WATERVILLE, ME 04901
(44.56951, -69.622718)",09/01/2016,44.56951,4.32056,-69.622718
205121,SOUTH PORTLAND NURSING HOME,SO PORTLAND,ME,4106,Cumberland,For profit - Individual,73,72,Medicare and Medicaid,False,False,Yes,3.0,3.0,3.0,4.0,19.333,6,3,0,$0.00,0,0,"42 ANTHOINE ST
SO PORTLAND, ME 04106
(43.632064, -70.257919)",09/01/2016,43.632064,3.29539,-70.257919
215123,BROADMEAD,COCKEYSVILLE,MD,21030,Baltimore,Non profit - Other,70,51,Medicare and Medicaid,False,False,Yes,5.0,4.0,5.0,5.0,36.0,1,1,0,$0.00,0,0,"13801 YORK ROAD
COCKEYSVILLE, MD 21030
(39.503648, -76.649659)",09/01/2016,39.503648,5.03741,-76.649659
215130,"FAIRHAVEN, INC.",SYKESVILLE,MD,21784,Carroll,Non profit - Corporation,79,66,Medicare,False,False,Yes,4.0,4.0,4.0,5.0,17.333,2,2,0,$0.00,0,0,"7200 THIRD AVENUE
SYKESVILLE, MD 21784
(39.375944, -76.971679)",09/01/2016,39.375944,4.37664,-76.971679
215121,SNOW HILL NURSING & REHAB CTR,SNOW HILL,MD,21863,Worcester,For profit - Corporation,69,55,Medicare and Medicaid,False,False,Yes,2.0,2.0,4.0,4.0,65.333,39,5,0,$0.00,0,0,"430 WEST MARKET STREET
SNOW HILL, MD 21863
(38.1678, -75.400087)",09/01/2016,38.1678,3.86982,-75.400087
215126,BERLIN NURSING AND REHABILITATION CENTER,BERLIN,MD,21811,Worcester,For profit - Corporation,145,120,Medicare and Medicaid,False,False,Yes,3.0,3.0,3.0,3.0,44.667,10,2,0,$0.00,0,0,"9715 HEALTHWAY DRIVE
BERLIN, MD 21811
(38.337022, -75.2106)",09/01/2016,38.337022,3.62952,-75.2106
215125,NATIONAL LUTHERAN HOME,ROCKVILLE,MD,20850,Montgomery,Non profit - Church related,160,139,Medicare and Medicaid,False,False,Yes,5.0,4.0,4.0,4.0,25.333,1,3,0,$0.00,0,0,"9701 VEIRS DRIVE
ROCKVILLE, MD 20850
(39.077226, -77.19424)",09/01/2016,39.077226,4.45584,-77.19424
215120,CROFTON CONVALESCENT CENTER,CROFTON,MD,21114,Anne Arundel,For profit - Corporation,153,160,Medicare and Medicaid,False,False,Yes,5.0,5.0,3.0,4.0,6.0,0,0,0,$0.00,0,0,"2131 DAVIDSONVILLE ROAD
CROFTON, MD 21114
(39.011091, -76.681898)",09/01/2016,39.011091,3.46999,-76.681898
205103,SEAL ROCK HEALTH CARE,SACO,ME,4072,York,For profit - Corporation,105,95,Medicare and Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,18.667,0,1,0,$0.00,0,0,"88 HARBOR DRIVE
SACO, ME 04072
(43.494291, -70.421042)",09/01/2016,43.494291,5.14648,-70.421042
205109,MARSHALL HEALTH CARE AND REHAB,MACHIAS,ME,4654,Washington,For profit - Corporation,64,52,Medicare and Medicaid,False,False,Yes,5.0,3.0,4.0,5.0,19.333,1,1,0,$0.00,0,0,"16 BEAL STREET
MACHIAS, ME 04654
(44.711997, -67.466265)",09/01/2016,44.711997,3.91662,-67.466265
205091,OAK GROVE CENTER,WATERVILLE,ME,4901,Kennebec,For profit - Corporation,90,82,Medicare and Medicaid,False,False,Yes,3.0,2.0,4.0,5.0,30.0,3,2,0,$0.00,0,0,"27 COOL ST
WATERVILLE, ME 04901
(44.54539, -69.645895)",09/01/2016,44.54539,3.96427,-69.645895
205100,PRESQUE ISLE REHAB AND NURSING CENTER,PRESQUE ISLE,ME,4769,Aroostook,For profit - Corporation,67,60,Medicare and Medicaid,False,False,Yes,4.0,3.0,5.0,5.0,20.667,2,0,0,$0.00,0,0,"162 ACADEMY ST
PRESQUE ISLE, ME 04769
(46.676328, -67.996676)",09/01/2016,46.676328,5.28559,-67.996676
205097,"NORWAY CENTER FOR HEALTH & REHABILITATION, LLC",NORWAY,ME,4268,Oxford,For profit - Corporation,42,39,Medicare and Medicaid,False,False,Yes,5.0,5.0,4.0,4.0,6.667,0,0,0,$0.00,0,0,"29 MARION AVE
NORWAY, ME 04268
(44.204592, -70.534559)",09/01/2016,44.204592,3.81846,-70.534559
205106,"EASTSIDE CENTER FOR HEALTH & REHABILITATION, LLC",BANGOR,ME,4401,Penobscot,For profit - Corporation,67,49,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,5.0,146.5,5,2,1,$8873.00,0,1,"516 MT HOPE AVENUE
BANGOR, ME 04401
(44.820682, -68.744792)",09/01/2016,44.820682,4.0825,-68.744792
205099,RUMFORD COMMUNITY HOME,RUMFORD,ME,4276,Oxford,Non profit - Corporation,32,31,Medicare and Medicaid,False,False,Yes,3.0,2.0,3.0,4.0,28.0,0,0,0,$0.00,0,0,"11 JOHN F KENNEDY LANE
RUMFORD, ME 04276
(44.524473, -70.556545)",09/01/2016,44.524473,3.57608,-70.556545
205095,"KENNEBUNK CENTER FOR HEALTH & REHABILITATION, LLC",KENNEBUNK,ME,4043,York,For profit - Corporation,78,71,Medicare and Medicaid,False,False,Yes,2.0,1.0,3.0,4.0,32.0,2,4,0,$0.00,0,0,"158 ROSS RD
KENNEBUNK, ME 04043
(43.400927, -70.551979)",09/01/2016,43.400927,3.52015,-70.551979
205105,WESTGATE CENTER FOR REHAB & ALZHEIMERS CARE,BANGOR,ME,4401,Penobscot,For profit - Corporation,65,61,Medicare and Medicaid,False,False,Yes,5.0,4.0,4.0,4.0,12.667,0,2,0,$0.00,0,0,"750 UNION ST
BANGOR, ME 04401
(44.810662, -68.797075)",09/01/2016,44.810662,4.24754,-68.797075
205092,FREEPORT NURSING & REHAB CENTER,FREEPORT,ME,4032,Cumberland,For profit - Corporation,61,49,Medicare and Medicaid,False,False,Yes,2.0,1.0,4.0,4.0,33.333,3,3,1,$1625.00,1,2,"3 EAST ST
FREEPORT, ME 04032
(43.862202, -70.098429)",09/01/2016,43.862202,4.20322,-70.098429
205108,ST ANDRE HEALTH CARE FACILITY,BIDDEFORD,ME,4005,York,Non profit - Corporation,96,83,Medicare and Medicaid,False,False,Yes,2.0,2.0,3.0,3.0,27.333,6,0,0,$0.00,0,0,"407 POOL ST
BIDDEFORD, ME 04005
(43.477219, -70.418429)",09/01/2016,43.477219,4.04469,-70.418429
205111,COUNTRY MANOR NURSING HOME,COOPERS MILLS,ME,4341,Lincoln,For profit - Corporation,30,25,Medicare and Medicaid,False,False,Yes,4.0,3.0,4.0,5.0,23.333,0,1,0,$0.00,0,0,"132 MAIN STREET
COOPERS MILLS, ME 04341
(43.941873, -69.968519)",09/01/2016,43.941873,3.98351,-69.968519
